Unnamed: 0,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
555,556,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,35,1,0,0.0032789101824164,3.5206519441999262e-06,,,0.2337280233943003,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2692792792792793,0.0026429630595372
556,557,12,<pyews.server_abstractions.Configuration object at 0x000001EBB4913280>,34,34,1,0,0.0030915015377104,7.242298352139187e-07,,,0.2039269029461209,0.1726468100868174,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2304444444444445,0.0026429630595372
557,558,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,30,1,0,0.0023470234591513,7.277906775016163e-07,,,0.15574389641017322,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1622222222222222,0.0026429630595372
558,559,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,29,1,0,0.0048049255274236,1.546078920000582e-06,,,0.19593163587377482,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.1988505747126436,0.0026429630595372
559,560,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,35,1,0,0.0051546287722885,4.070090540153616e-07,,,0.23087088053715735,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2222988505747126,0.0026429630595372
560,561,25,<pyews.server_abstractions.Configuration object at 0x000001EBB49125C0>,33,34,0,1,0.0040840902365744,2.732061261667696e-07,,,0.20863278529906212,0.2643778247082362,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3180392156862744,0.0026429630595372
561,562,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,30,1,0,0.0059841005131602,1.4041728491065444e-07,,,0.20463278529906212,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2917171717171717,0.0026429630595372
562,563,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,33,1,0,0.0038640382699668,1.9364389913789642e-07,,,0.26029945196572885,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2308333333333333,0.0026429630595372
563,564,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,23,1,0,0.0016927311662584,3.238408226025058e-07,,,0.0869661186323955,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.3031111111111111,0.0026429630595372
564,565,30,<pyews.server_abstractions.Configuration object at 0x000001EBB4934280>,40,31,1,0,0.001254096860066,4.833980824514583e-07,,,0.18201988207325562,0.1854343365664084,<pyews.server_abstractions.Configuration object at 0x000001EBB49350C0>,37,41,0.2399999999999999,0.0026429630595372
