,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost,not_chosen_conf,not_chosen_conf_indx,not_chosen_conf_index_in_labels,not_avg_response_time,not_cost
578,579,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,31,1,0,0.0012878545094281435,0.00038150703767314553,,,0.2127956989247312,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.29676190476190484,0.002642963059537262
579,580,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,31,0,1,0.0010678654070943594,0.0011547623435035348,,,0.21096774193548384,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.31611111111111106,0.002642963059537262
580,581,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,34,0,1,0.0011153202503919601,0.0015324578853324056,,,0.3267647058823529,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.24090909090909088,0.002642963059537262
581,582,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,34,0,1,0.0020329304970800877,0.00043563335202634335,,,0.32803921568627453,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.17758620689655175,0.002642963059537262
582,583,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,29,0,1,0.0014464526902884245,3.988280877820216e-05,,,0.18528735632183907,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.20103448275862068,0.002642963059537262
583,584,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,31,0,1,0.0012695598416030407,0.00010647381714079529,,,0.23150537634408605,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2120430107526882,0.002642963059537262
584,585,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,32,0,1,0.0005191529635339975,0.0006245215190574527,,,0.26249999999999996,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.192,0.002642963059537262
585,586,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,33,0,1,0.0006075394921936095,0.0005234692944213748,,,0.202020202020202,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.22708333333333336,0.002642963059537262
586,587,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.0011544253211468458,0.0011765994131565094,,,0.2323655913978495,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.28047619047619043,0.002642963059537262
587,588,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,31,0,1,0.00151743832975626,0.0009635536698624492,,,0.21193548387096775,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2903125,0.002642963059537262
588,589,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,35,0,1,0.0010250972118228674,0.00019245018484070897,,,0.30733333333333335,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2504761904761905,0.002642963059537262
589,590,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,35,0,1,0.0012628505937755108,0.00016442456399090588,,,0.29733333333333334,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.28657407407407404,0.002642963059537262
590,591,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,35,0,1,0.0035717831924557686,0.001044499920681119,,,0.3162857142857143,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.3161261261261261,0.002642963059537262
591,592,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,29,0,1,0.0013582920655608177,0.0014301908668130636,,,0.18459770114942528,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.260625,0.002642963059537262
592,593,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,35,0,1,0.0010048567783087492,0.0005219667218625546,,,0.28790476190476194,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2567676767676768,0.002642963059537262
593,594,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,34,0,1,0.0024858794640749693,6.652209413005039e-05,,,0.2804901960784314,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.24137254901960786,0.002642963059537262
594,595,31,<pyews.server_abstractions.Configuration object at 0x00000203D7B130D0>,34,30,0,1,0.004598787985742092,8.375281322514638e-05,,,0.2387777777777778,0.17264681008681748,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2315686274509804,0.002642963059537262
595,596,17,<pyews.server_abstractions.Configuration object at 0x00000203D7B233D0>,39,28,0,1,0.007657679729163647,0.00017853720055427402,,,0.1636904761904762,0.3054506676452877,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2161458333333333,0.002642963059537262
596,597,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,36,0,1,0.001134829013608396,0.001319371396675706,,,0.27694444444444444,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.25941176470588234,0.002642963059537262
597,598,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,37,0,1,0.0013041513739153743,0.0016044643707573414,,,0.30009009009009,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2806451612903226,0.002642963059537262
598,599,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,30,0,1,0.0024800291284918785,0.00041680794674903154,,,0.21466666666666662,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.2643434343434343,0.002642963059537262
599,600,41,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,33,0,1,0.009814275428652763,8.777042239671573e-05,,,0.2644444444444444,0.002642963059537262,<pyews.server_abstractions.Configuration object at 0x00000203D7B38F10>,41,41,0.22999999999999998,0.002642963059537262
