,episodes,chosen_conf_index,chosen_conf,chosen_conf_index_in_labels,number_of_requests,policy1,policy2,loss_q1,loss_q2,loss_w1,loss_w2,avg_response_time,cost
463,464,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.031072746962308884,0.030539896339178085,,,0.0,0.308151228202052
464,465,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.013767968863248825,0.00951158907264471,,,0.1361111111111111,0.308151228202052
465,466,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.016777079552412033,0.0123899532482028,,,0.2422222222222222,0.1854343365664084
466,467,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,0,1,0.003761774394661188,0.022835899144411087,,,0.3473333333333334,0.17264681008681748
467,468,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,4,1,0,0.0072854007594287395,0.04978816956281662,,,0.0,0.1854343365664084
468,469,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.041530173271894455,0.010799948126077652,,,0.20666666666666667,0.1854343365664084
469,470,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.007896289229393005,0.016912151128053665,,,0.14666666666666667,0.1854343365664084
470,471,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.016860399395227432,0.032106686383485794,,,0.1322222222222222,0.1854343365664084
471,472,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.01255185715854168,0.028581619262695312,,,0.25333333333333335,0.1854343365664084
472,473,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.005882531404495239,0.03452325239777565,,,0.1338888888888889,0.1854343365664084
473,474,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,7,1,0,0.013315537944436073,0.020312003791332245,,,0.2066666666666667,0.1854343365664084
474,475,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.015820728614926338,0.02277335710823536,,,0.2166666666666667,0.17264681008681748
475,476,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,4,1,0,0.01350522879511118,0.03752332180738449,,,0.0,0.17264681008681748
476,477,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.023155374452471733,0.02340719848871231,,,0.3833333333333333,0.17264681008681748
477,478,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.012338105589151382,0.022627919912338257,,,0.13,0.17264681008681748
478,479,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.013075650669634342,0.015192445367574692,,,0.10666666666666667,0.17264681008681748
479,480,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,1,0,0.011992078274488449,0.030621783807873726,,,0.27625,0.17264681008681748
480,481,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,1,0,0.007805798202753067,0.0003842386358883232,,,0.3614285714285715,0.17264681008681748
481,482,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,3,1,0,0.010300650261342525,0.023949336260557175,,,0.0,0.26912595698583663
482,483,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,8,1,0,0.01023518480360508,0.05615445226430893,,,0.3020833333333333,0.26912595698583663
483,484,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.01587207242846489,0.05616360530257225,,,0.3223809523809524,0.26912595698583663
484,485,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,6,1,0,0.01581336185336113,0.01704810932278633,,,0.1311111111111111,0.26912595698583663
485,486,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,4,1,0,0.03622763603925705,0.01611478626728058,,,0.011666666666666659,0.308151228202052
486,487,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,6,1,0,0.06318429112434387,0.01934066414833069,,,0.1127777777777778,0.308151228202052
487,488,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.026792947202920914,0.02275950461626053,,,0.22714285714285712,0.308151228202052
488,489,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,5,1,0,0.01511333603411913,0.0012640521163120866,,,0.0,0.308151228202052
489,490,18,<pyews.server_abstractions.Configuration object at 0x0000022473E20E20>,37,7,1,0,0.01694602519273758,0.06917934864759445,,,0.3114285714285714,0.308151228202052
490,491,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,4,0,1,0.016279276460409164,0.045930325984954834,,,0.0,0.17264681008681748
491,492,3,<pyews.server_abstractions.Configuration object at 0x0000022473E22920>,39,6,1,0,0.02640374004840851,0.03975360095500946,,,0.4472222222222222,0.3054506676452877
492,493,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,0,1,0.013054592534899712,0.012948453426361084,,,0.3823809523809524,0.17264681008681748
493,494,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.00583194475620985,0.04595031961798668,,,0.28,0.1854343365664084
494,495,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,6,1,0,0.009699876420199871,0.06125069037079811,,,0.22277777777777782,0.1854343365664084
495,496,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,5,1,0,0.032991208136081696,0.05889376252889633,,,0.0,0.1854343365664084
496,497,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,0,1,0.010713089257478714,0.04444754868745804,,,0.25555555555555554,0.17264681008681748
497,498,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,7,0,1,0.014402511529624462,0.023127734661102295,,,0.20333333333333334,0.17264681008681748
498,499,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,5,1,0,0.005361602175980806,0.06567990779876709,,,0.16133333333333333,0.1854343365664084
499,500,23,<pyews.server_abstractions.Configuration object at 0x0000022473E235E0>,40,5,1,0,0.016055770218372345,0.02466156892478466,,,0.128,0.1854343365664084
500,501,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.008239762857556343,0.05436506122350693,,,0.27555555555555555,0.17264681008681748
501,502,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,5,1,0,0.0062243035063147545,0.056563228368759155,,,0.13599999999999998,0.17264681008681748
502,503,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,1,0,0.01739162765443325,0.04744447395205498,,,0.2677777777777778,0.17264681008681748
503,504,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,8,0,1,0.009190141223371029,0.041536130011081696,,,0.30541666666666667,0.17264681008681748
504,505,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.019734591245651245,0.0491306334733963,,,0.4176190476190476,0.26912595698583663
505,506,30,<pyews.server_abstractions.Configuration object at 0x0000022473E0E620>,34,6,0,1,0.00909358263015747,0.06580202281475067,,,0.30000000000000004,0.17264681008681748
506,507,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,5,1,0,0.014395156875252724,0.03820814937353134,,,0.16,0.26912595698583663
507,508,21,<pyews.server_abstractions.Configuration object at 0x000002246D8B7880>,8,7,1,0,0.017584197223186493,0.02681177482008934,,,0.20904761904761907,0.26912595698583663
